year;elo_band;time_bin;game_stage;avg_accuracy;n_moves
2017;intermediate;4;beginning;9,36577E+13;7410131
2017;intermediate;4;end;9,3092E+15;6060591
2017;intermediate;4;middle;9,2404E+15;8647608
2017;intermediate;5;beginning;9,34917E+15;5473153
2017;intermediate;5;end;9,29167E+15;4470672
2017;intermediate;5;middle;9,22786E+14;6681767
2017;intermediate;6;beginning;9,32849E+15;4268012
2017;intermediate;6;end;9,27553E+14;3493193
2017;intermediate;6;middle;9,21155E+15;5474310
2017;intermediate;7;beginning;9,31219E+14;3452731
2017;intermediate;7;end;9,25286E+15;2798846
2017;intermediate;7;middle;9,19487E+15;4577039
2017;intermediate;8;beginning;9,29272E+14;2849746
2017;intermediate;8;end;9,23641E+15;2302216
2017;intermediate;8;middle;9,17639E+15;3913093
2017;intermediate;9;beginning;9,27703E+14;2384942
2017;intermediate;9;end;9,22068E+15;1906543
2017;intermediate;9;middle;9,16058E+15;3355766
2017;intermediate;10;beginning;9,26022E+13;2024205
2017;intermediate;10;end;9,20645E+15;1612581
2017;intermediate;10;middle;9,14789E+15;2918703
2017;intermediate;11;beginning;9,24997E+15;1731460
2017;intermediate;11;end;9,19036E+14;1366143
2017;intermediate;11;middle;9,1333E+15;2544329
2017;intermediate;12;beginning;9,23687E+15;1500258
2017;intermediate;12;end;9,17832E+15;1176811
2017;intermediate;12;middle;9,12058E+15;2240813
2017;intermediate;13;beginning;9,22813E+15;1307274
2017;intermediate;13;end;9,16548E+15;1016156
2017;intermediate;13;middle;9,11366E+15;1976119
2017;intermediate;14;beginning;9,21548E+15;1149469
2017;intermediate;14;end;9,15274E+15;889538
2017;intermediate;14;middle;9,10041E+15;1764770
2017;intermediate;15;beginning;9,20943E+15;1014522
2017;intermediate;15;end;9,1481E+15;777631
2017;intermediate;15;middle;9,08984E+15;1569477
2017;intermediate;16;beginning;9,20458E+15;903278
2017;intermediate;16;end;9,13758E+14;691027
2017;intermediate;16;middle;9,08271E+15;1414820
2017;intermediate;17;beginning;9,19574E+15;805094
2017;intermediate;17;end;9,13243E+15;611138
2017;intermediate;17;middle;9,07873E+15;1267200
2017;intermediate;18;beginning;9,1856E+15;722517
2017;intermediate;18;end;9,11996E+15;546900
2017;intermediate;18;middle;9,07099E+15;1149806
2017;intermediate;19;beginning;9,18225E+15;647799
2017;intermediate;19;end;9,11565E+14;489411
2017;intermediate;19;middle;9,06109E+15;1038674
2017;intermediate;20;beginning;9,17484E+15;587008
2017;intermediate;20;end;9,10025E+15;441473
2017;intermediate;20;middle;9,05703E+15;947996
2017;intermediate;21;beginning;9,17262E+15;531127
